ticker,name
8028.tw,昇陽半導體
8033.tw,雷虎
8039.tw,台虹
8045.tw,達運光電
8046.tw,南電
8070.tw,長華*
8072.tw,陞泰
8081.tw,致新
8101.tw,華冠
8103.tw,瀚荃
8104.tw,錸寶
8105.tw,凌巨
8110.tw,華東
8112.tw,至上
8114.tw,振樺電
8131.tw,福懋科
8150.tw,南茂
8163.tw,達方
8201.tw,無敵
8210.tw,勤誠
8213.tw,志超
8215.tw,明基材
8222.tw,寶一
8249.tw,菱光
8261.tw,富鼎
8271.tw,宇瞻
8341.tw,日友
8367.tw,建新國際
8374.tw,羅昇
8404.tw,百和興業-KY
8411.tw,福貞-KY
8422.tw,可寧衛
8429.tw,金麗-KY
8438.tw,昶昕
8442.tw,威宏-KY
8443.tw,阿瘦
8454.tw,富邦媒
8462.tw,柏文
8463.tw,潤泰材
8464.tw,億豐
8466.tw,美吉吉-KY
8467.tw,波力-KY
8473.tw,山林水
8476.tw,台境*
8478.tw,東哥遊艇
8481.tw,政伸
8482.tw,商億-KY
8488.tw,吉源-KY
8499.tw,鼎炫-KY
8926.tw,台汽電
8940.tw,新天地
8996.tw,高力
9802.tw,鈺齊-KY
9902.tw,台火
9904.tw,寶成
9905.tw,大華
9906.tw,欣巴巴
9907.tw,統一實
9908.tw,大台北
9910.tw,豐泰
9911.tw,櫻花
9912.tw,偉聯
9914.tw,美利達
9917.tw,中保科
9918.tw,欣天然
9919.tw,康那香
9921.tw,巨大
9924.tw,福興
9925.tw,新保
9926.tw,新海
9927.tw,泰銘
9928.tw,中視
9929.tw,秋雨
9930.tw,中聯資源
9931.tw,欣高
9933.tw,中鼎
9934.tw,成霖
9935.tw,慶豐富
9937.tw,全國
9938.tw,百和
9939.tw,宏全
9940.tw,信義
9941.tw,裕融
9942.tw,茂順
9943.tw,好樂迪
9944.tw,新麗
9945.tw,潤泰新
9946.tw,三發地產
9955.tw,佳龍
9958.tw,世紀鋼
